CustomerKey,Fullname,BirthDate,Marital Status,Gender,DateFirstPurchase,CustomerType,Continent,Country,Province
1,Jon V Yang,1966-04-08,Married,Male,2001-07-22,Person,Asia,Australia,Queensland
2,Eugene L Huang,1965-05-14,Single,Male,2001-07-18,Person,Asia,Australia,Victoria
3,Ruben Torres,1965-08-12,Married,Male,2001-07-10,Person,Asia,Australia,Tasmania
4,Christy Zhu,1968-02-15,Single,FEMALE,2001-07-01,Person,Asia,Australia,New South Wales
5,Elizabeth Johnson,1968-08-08,Single,FEMALE,2001-07-26,Person,Asia,Australia,New South Wales
6,Julio Ruiz,1965-08-05,Single,Male,2001-07-02,Person,Asia,Australia,Queensland
7,Janet G Alvarez,1965-12-06,Single,FEMALE,2001-07-27,Person,Asia,Australia,New South Wales
8,Marco Mehta,1964-05-09,Married,Male,2001-07-12,Person,Asia,Australia,Victoria
9,Rob Verhoff,1964-07-07,Single,FEMALE,2001-07-28,Person,Asia,Australia,Victoria
10,Shannon C Carlson,1964-04-01,Single,Male,2001-07-30,Person,Asia,Australia,Queensland
11,Jacquelyn C Suarez,1964-02-06,Single,FEMALE,2001-07-17,Person,Asia,Australia,Queensland
12,Curtis Lu,1963-11-04,Married,Male,2001-07-02,Person,Asia,Australia,Queensland
13,Lauren M Walker,1968-01-18,Married,FEMALE,2003-09-17,Person,North America,United States,Washington
14,Ian M Jenkins,1968-08-06,Married,Male,2003-10-15,Person,North America,United States,Oregon
15,Sydney Bennett,1968-05-09,Single,FEMALE,2003-09-24,Person,North America,United States,Washington
16,Chloe Young,1979-02-27,Single,FEMALE,2003-07-22,Person,North America,United States,California
17,Wyatt L Hill,1979-04-28,Married,Male,2003-08-13,Person,North America,United States,California
18,Shannon Wang,1944-06-26,Single,FEMALE,2001-07-15,Person,Asia,Australia,Victoria
19,Clarence D Rai,1944-10-09,Single,Male,2001-07-20,Person,Asia,Australia,Victoria
20,Luke L Lal,1978-03-07,Single,Male,2003-08-16,Person,North America,Canada,British Columbia
21,Jordan C King,1978-09-20,Single,Male,2003-07-02,Person,North America,Canada,British Columbia
22,Destiny Wilson,1978-09-03,Single,FEMALE,2003-07-27,Person,North America,United States,Oregon
23,Ethan G Zhang,1978-10-12,Married,Male,2003-07-24,Person,North America,United States,Washington
24,Seth M Edwards,1978-10-11,Married,Male,2003-08-21,Person,North America,United States,California
25,Russell Xie,1978-09-17,Married,Male,2003-12-29,Person,North America,United States,California
26,Alejandro Beck,1945-12-23,Married,Male,2001-07-09,Person,Asia,Australia,Queensland
27,Harold Sai,1946-04-03,Single,Male,2001-07-26,Person,Asia,Australia,New South Wales
28,Jessie R Zhao,1946-12-07,Married,Male,2001-07-19,Person,Asia,Australia,Victoria
29,Jill Jimenez,1946-04-11,Married,FEMALE,2001-07-29,Person,Asia,Australia,New South Wales
30,Jimmy L Moreno,1946-12-21,Married,Male,2001-07-22,Person,Asia,Australia,Victoria
31,Bethany G Yuan,1947-02-22,Married,FEMALE,2001-08-08,Person,Asia,Australia,South Australia
32,Theresa G Ramos,1947-08-22,Married,FEMALE,2001-08-04,Person,Asia,Australia,New South Wales
33,Denise Stone,1947-06-11,Married,FEMALE,2001-08-21,Person,Asia,Australia,Victoria
34,Jaime Nath,1947-09-23,Married,Male,2001-08-18,Person,Asia,Australia,New South Wales
35,Ebony Gonzalez,1947-06-19,Married,FEMALE,2001-08-04,Person,Asia,Australia,New South Wales
36,Wendy Dominguez,1948-02-24,Married,FEMALE,2001-08-09,Person,Asia,Australia,Victoria
37,Jennifer C Russell,1978-12-18,Married,FEMALE,2003-07-26,Person,North America,United States,California
38,Chloe M Garcia,1977-11-27,Single,FEMALE,2003-07-24,Person,North America,Canada,British Columbia
39,Diana F Hernandez,1948-03-23,Married,FEMALE,2001-08-10,Person,Asia,Australia,New South Wales
